[DATA START],
RecordingTime,PEC_Measured_Current
s,A
Double,Float
0,-5.394573
0.1,0.003721
0.2,0.003721
0.3,0.003721
0.4,0.003721
0.5,0.003721
0.6,0.005773
0.7,0.005773
0.8,0.003721
0.9,0.005773
1,0.005773
1.1,0.003721
1.2,0.003721
1.3,0.003721
1.4,0.005773
1.5,0.005773
1.6,0.005773
1.7,0.003721
1.8,0.005773
1.9,0.005773
2,0.003721
2.1,0.005773
2.2,0.005773
2.3,0.003721
2.4,0.005773
2.5,0.005773
2.6,0.005773
2.7,0.005773
2.8,0.007825
2.9,0.005773
3,0.005773
3.1,0.003721
3.2,0.003721
3.3,0.003721
3.4,0.003721
3.5,0.003721
3.6,0.003721
3.7,0.001669
3.8,0.003721
3.9,0.003721
4,0.003721
4.1,0.001669
4.2,0.003721
4.3,0.001669
4.4,0.003721
4.5,0.003721
4.6,0.003721
4.7,0.003721
4.8,0.001669
4.9,0.003721
5,0.003721
5.1,0.003721
5.2,0.003721
5.3,0.003721
5.4,0.003721
5.5,0.005773
5.6,0.001669
5.7,0.003721
5.8,0.003721
5.9,0.005773
6,0.001669
6.1,0.003721
6.2,0.003721
6.3,0.005773
6.4,0.003721
6.5,0.003721
6.6,0.003721
6.7,0.003721
6.8,0.003721
6.9,0.003721
7,0.005773
7.1,0.003721
7.2,0.001669
7.3,0.003721
7.4,0.003721
7.5,0.003721
7.6,0.005773
7.7,0.003721
7.8,0.003721
7.9,0.003721
8,0.003721
8.1,0.003721
8.2,0.003721
8.3,0.005773
8.4,0.005773
8.5,0.003721
8.6,0.003721
8.7,0.003721
8.8,0.003721
8.9,0.001669
9,0.003721
9.1,0.003721
9.2,0.001669
9.3,0.003721
9.4,0.003721
9.5,0.003721
9.6,0.003721
9.7,0.003721
9.8,0.003721
9.9,0.003721
10,0.003721
10.1,0.003721
10.2,0.003721
10.3,0.003721
10.4,0.003721
10.5,0.005773
10.6,0.001669
10.7,0.005773
10.8,0.003721
10.9,0.005773
11,0.003721
11.1,0.003721
11.2,0.003721
11.3,0.005773
11.4,0.003721
11.5,0.003721
11.6,0.003721
11.7,0.003721
11.8,0.003721
11.9,0.005773
12,0.007825
12.1,0.003721
12.2,0.005773
12.3,0.003721
12.4,0.005773
12.5,0.003721
12.6,0.003721
12.7,0.003721
12.8,0.003721
12.9,0.005773
13,0.001669
13.1,0.003721
13.2,0.003721
13.3,0.003721
13.4,0.003721
13.5,0.005773
13.6,0.005773
13.7,0.003721
13.8,0.003721
13.9,0.007825
14,0.005773
14.1,0.003721
14.2,0.003721
14.3,0.003721
14.4,0.007825
14.5,0.003721
14.6,0.005773
14.7,0.003721
14.8,0.003721
14.9,0.003721
15,0.003721
15.1,0.005773
15.2,0.005773
15.3,0.005773
15.4,0.003721
15.5,0.005773
15.6,0.005773
15.7,0.003721
15.8,0.003721
15.9,0.005773
16,0.003721
16.1,0.003721
16.2,0.003721
16.3,0.003721
16.4,0.003721
16.5,0.003721
16.6,0.005773
16.7,0.003721
16.8,0.003721
16.9,0.003721
17,0.003721
17.1,0.005773
17.2,0.005773
17.3,0.003721
17.4,0.003721
17.5,0.003721
17.6,0.003721
17.7,0.003721
17.8,0.005773
17.9,0.003721
18,0.003721
18.1,0.001669
18.2,0.005773
18.3,0.003721
18.4,0.003721
18.5,0.003721
18.6,0.003721
18.7,0.003721
18.8,0.003721
18.9,0.001669
19,0.003721
19.1,0.003721
19.2,0.003721
19.3,0.003721
19.4,0.005773
19.5,0.005773
19.6,0.005773
19.7,0.003721
19.8,0.003721
19.9,0.003721
20,0.003721
20.1,0.003721
20.2,-1.686965
20.3,-1.732104
20.4,-1.834695
20.5,-1.924974
20.6,-2.002942
20.7,-2.089118
20.8,-2.17119
20.9,-2.255314
21,-2.337386
21.1,-2.417407
21.2,-2.173242
21.3,-2.544618
21.4,-2.316868
21.5,-2.688245
21.6,-2.468702
21.7,-2.833923
21.8,-2.616431
21.9,-2.977549
22,-2.766213
22.1,-3.117071
22.2,-1.88599
22.3,-3.016533
22.4,-2.01115
22.5,-3.162211
22.6,-2.103481
22.7,-3.299682
22.8,-2.199915
22.9,-3.428946
23,-2.302506
23.1,-3.558209
23.2,-3.749027
23.3,-3.759286
23.4,-3.882394
23.5,-3.911119
23.6,-4.01371
23.7,-4.054745
23.8,-4.142973
23.9,-4.198371
24,-4.278392
24.1,-4.337894
24.2,-3.463826
24.3,-4.766721
24.4,-3.322252
24.5,-5.053974
24.6,-3.441256
24.7,-5.115528
24.8,-3.535639
24.9,-5.285827
25,-3.656696
25.1,-5.388417
25.2,-3.978829
25.3,-3.504862
25.4,-3.62797
25.5,-3.611556
25.6,-3.705939
25.7,-3.724405
25.8,-3.822892
25.9,-3.7757
26,-3.984984
26.1,-3.783907
26.2,-0.199408
26.3,-0.663115
26.4,-0.652856
26.5,-0.628234
26.6,-0.644649
26.7,-0.638493
26.8,-0.640545
26.9,-0.642597
27,-0.642597
27.1,-0.640545
27.2,-1.451007
27.3,-1.299174
27.4,-1.325847
27.5,-1.329951
27.6,-1.332003
27.7,-1.338158
27.8,-1.342262
27.9,-1.348417
28,-1.354573
28.1,-1.358676
28.2,-5.796726
28.3,-4.399448
28.4,-4.194268
28.5,-4.261978
28.6,-4.286599
28.7,-4.337894
28.8,-4.405604
28.9,-4.434329
29,-4.50409
29.1,-4.508194
29.2,-1.592582
29.3,-1.949595
29.4,-1.976269
29.5,-1.953699
29.6,-1.972165
29.7,-1.974217
29.8,-1.98858
29.9,-1.992683
30,-1.998839
30.1,-2.009098
30.2,-1.278656
30.3,-1.422282
30.4,-1.405868
30.5,-1.40792
30.6,-1.416127
30.7,-1.418179
30.8,-1.422282
30.9,-1.426386
31,-1.428437
31.1,-1.432541
31.2,0.001669
31.3,-0.254806
31.4,-0.21377
31.5,-0.215822
31.6,-0.217874
31.7,-0.215822
31.8,-0.219926
31.9,-0.215822
32,-0.215822
32.1,-0.217874
32.2,0.186332
32.3,0.145295
32.4,0.149399
32.5,0.149399
32.6,0.147347
32.7,0.147347
32.8,0.147347
32.9,0.145295
33,0.147347
33.1,0.145295
33.2,0.231471
33.3,0.215057
33.4,0.215057
33.5,0.217109
33.6,0.215057
33.7,0.215057
33.8,0.215057
33.9,0.213005
34,0.213005
34.1,0.210953
34.2,0.210953
34.3,0.210953
34.4,0.20685
34.5,0.208901
34.6,0.208901
34.7,0.20685
34.8,0.20685
34.9,0.204798
35,0.204798
35.1,0.204798
35.2,0.163762
35.3,0.169917
35.4,0.167865
35.5,0.167865
35.6,0.167865
35.7,0.171969
35.8,0.167865
35.9,0.169917
36,0.165813
36.1,0.167865
36.2,0.20685
36.3,0.196591
36.4,0.198642
36.5,0.194539
36.6,0.196591
36.7,0.194539
36.8,0.192487
36.9,0.192487
37,0.192487
37.1,0.190435
37.2,0.814183
37.3,0.625417
37.4,0.793665
37.5,0.602848
37.6,0.750577
37.7,0.590537
37.8,0.715697
37.9,0.592589
38,0.666453
38.1,0.602848
38.2,0.459221
38.3,0.475636
38.4,0.467429
38.5,0.461273
38.6,0.455118
38.7,0.446911
38.8,0.440755
38.9,0.4346
39,0.424341
39.1,0.418185
39.2,-0.564628
39.3,0.018084
39.4,-0.012693
39.5,-0.012693
39.6,-0.006538
39.7,-0.00859
39.8,-0.012693
39.9,-0.012693
40,-0.010642
40.1,-0.012693
40.2,-0.455883
40.3,-0.373811
40.4,-0.382018
40.5,-0.386122
40.6,-0.382018
40.7,-0.388173
40.8,-0.38407
40.9,-0.386122
41,-0.386122
41.1,-0.390225
41.2,-0.390225
41.3,-0.388173
41.4,-0.392277
41.5,-0.394329
41.6,-0.394329
41.7,-0.394329
41.8,-0.396381
41.9,-0.396381
42,-0.398432
42.1,-0.398432
42.2,-0.728773
42.3,-0.667219
42.4,-0.673374
42.5,-0.677478
42.6,-0.677478
42.7,-0.681581
42.8,-0.683633
42.9,-0.685685
43,-0.687737
43.1,-0.687737
43.2,-1.77314
43.3,-1.572064
43.4,-1.608996
43.5,-1.617203
43.6,-1.625411
43.7,-1.637721
43.8,-1.645929
43.9,-1.658239
44,-1.666447
44.1,-1.680809
44.2,-3.537691
44.3,-3.211454
44.4,-3.289423
44.5,-3.3202
44.6,-3.346873
44.7,-3.37765
44.8,-3.412531
44.9,-3.437153
45,-3.472033
45.1,-3.504862
45.2,-3.531536
45.3,-3.564364
45.4,-3.595142
45.5,-3.623867
45.6,-3.654644
45.7,-3.683369
45.8,-3.714146
45.9,-3.744923
46,-3.7757
46.1,-3.806477
46.2,-2.877011
46.3,-3.076035
46.4,-3.073984
46.5,-3.098605
46.6,-3.117071
46.7,-3.137589
46.8,-3.162211
46.9,-3.178626
47,-3.199144
47.1,-3.21761
47.2,0.026291
47.3,-0.484608
47.4,-0.400484
47.5,-0.400484
47.6,-0.40664
47.7,-0.402536
47.8,-0.404588
47.9,-0.404588
48,-0.40664
48.1,-0.402536
48.2,0.104259
48.3,0.071431
48.4,0.075534
48.5,0.073482
48.6,0.073482
48.7,0.073482
48.8,0.073482
48.9,0.075534
49,0.075534
49.1,0.073482
49.2,0.028343
49.3,0.038602
49.4,0.034498
49.5,0.034498
49.6,0.038602
49.7,0.03655
49.8,0.03655
49.9,0.034498
50,0.03655
50.1,0.034498
50.2,0.522827
50.3,0.4346
50.4,0.440755
50.5,0.442807
50.6,0.436651
50.7,0.4346
50.8,0.432548
50.9,0.428444
51,0.424341
51.1,0.422289
51.2,0.740318
51.3,0.660298
51.4,0.666453
51.5,0.656194
51.6,0.643884
51.7,0.635676
51.8,0.625417
51.9,0.615158
52,0.604899
52.1,0.59464
52.2,0.485895
52.3,0.502309
52.4,0.494102
52.5,0.485895
52.6,0.479739
52.7,0.473584
52.8,0.467429
52.9,0.461273
53,0.455118
53.1,0.446911
53.2,0.297129
53.3,0.325854
53.4,0.313543
53.5,0.313543
53.6,0.311492
53.7,0.30944
53.8,0.305336
53.9,0.301233
54,0.299181
54.1,0.295077
54.2,-0.343034
54.3,0.009876
54.4,-0.012693
54.5,-0.012693
54.6,-0.012693
54.7,-0.012693
54.8,-0.012693
54.9,-0.012693
55,-0.012693
55.1,-0.012693
55.2,-3.447412
55.3,-2.760058
55.4,-2.887269
55.5,-2.915995
55.6,-2.936513
55.7,-2.96729
55.8,-2.996015
55.9,-3.022688
56,-3.049362
56.1,-3.078087
56.2,-3.533587
56.3,-3.486396
56.4,-3.531536
56.5,-3.564364
56.6,-3.597193
56.7,-3.632074
56.8,-3.662851
56.9,-3.697732
57,-3.728509
57.1,-3.763389
57.2,-3.110916
57.3,-3.266853
57.4,-3.270957
57.5,-3.29763
57.6,-3.324304
57.7,-3.348925
57.8,-3.371495
57.9,-3.394065
58,-3.424842
58.1,-3.449464
58.2,-2.991911
58.3,-3.104761
58.4,-3.110916
58.5,-3.129382
58.6,-3.156056
58.7,-3.170418
58.8,-3.19504
58.9,-3.215558
59,-3.231972
59.1,-3.254542
59.2,-1.777244
59.3,-2.066548
59.4,-2.03372
59.5,-2.043978
59.6,-2.048082
59.7,-2.056289
59.8,-2.062445
59.9,-2.070652
60,-2.080911
60.1,-2.087066
60.2,-0.593354
60.3,-0.876503
60.4,-0.835466
60.5,-0.841622
60.6,-0.841622
60.7,-0.845726
60.8,-0.845726
60.9,-0.847777
61,-0.849829
61.1,-0.851881
61.2,-0.599509
61.3,-0.650804
61.4,-0.644649
61.5,-0.644649
61.6,-0.648752
61.7,-0.646701
61.8,-0.648752
61.9,-0.648752
62,-0.648752
62.1,-0.648752
62.2,-0.152216
62.3,-0.246599
62.4,-0.232236
62.5,-0.230185
62.6,-0.234288
62.7,-0.234288
